,id,gene_short_name,num_cells_expressed,use_for_ordering
ENSMUSG00000032056,ENSMUSG00000032056,Btg4,7,FALSE
ENSMUSG00000032053,ENSMUSG00000032053,Pou2af1,122,FALSE
ENSMUSG00000079559,ENSMUSG00000079559,Gm684,1562,FALSE
ENSMUSG00000044694,ENSMUSG00000044694,2010007H06Rik,357,FALSE
ENSMUSG00000036027,ENSMUSG00000036027,1810046K07Rik,73,FALSE
ENSMUSG00000078308,ENSMUSG00000078308,Gm7293,2644,FALSE
ENSMUSG00000053199,ENSMUSG00000053199,Arhgap20,914,FALSE
ENSMUSG00000074354,ENSMUSG00000074354,Arhgap20os,17,FALSE
ENSMUSG00000032051,ENSMUSG00000032051,Fdx1,21896,FALSE
ENSMUSG00000032050,ENSMUSG00000032050,Rdx,27175,FALSE
ENSMUSG00000035164,ENSMUSG00000035164,Zc3h12c,1816,FALSE
ENSMUSG00000078307,ENSMUSG00000078307,AI593442,682,FALSE
ENSMUSG00000053289,ENSMUSG00000053289,Ddx10,13950,FALSE
ENSMUSG00000032048,ENSMUSG00000032048,4930510E17Rik,2,FALSE
ENSMUSG00000034584,ENSMUSG00000034584,Exph5,1925,FALSE
ENSMUSG00000034487,ENSMUSG00000034487,Kdelc2,8211,FALSE
ENSMUSG00000005131,ENSMUSG00000005131,4930550C14Rik,1157,FALSE
ENSMUSG00000034218,ENSMUSG00000034218,Atm,7911,FALSE
ENSMUSG00000033054,ENSMUSG00000033054,Npat,11061,FALSE
ENSMUSG00000032047,ENSMUSG00000032047,Acat1,14995,FALSE
ENSMUSG00000032030,ENSMUSG00000032030,Cul5,19442,FALSE
ENSMUSG00000086914,ENSMUSG00000086914,Gm16124,2918,FALSE
ENSMUSG00000055069,ENSMUSG00000055069,Rab39,400,FALSE
ENSMUSG00000042195,ENSMUSG00000042195,Slc35f2,4759,FALSE
ENSMUSG00000042045,ENSMUSG00000042045,Sln,12,FALSE
ENSMUSG00000059830,ENSMUSG00000059830,Gm16380,1105,FALSE
ENSMUSG00000041986,ENSMUSG00000041986,Elmod1,1082,FALSE
ENSMUSG00000074345,ENSMUSG00000074345,Tnfaip8l3,83,FALSE
ENSMUSG00000032274,ENSMUSG00000032274,Cyp19a1,29,FALSE
ENSMUSG00000074343,ENSMUSG00000074343,Gldnos,81,FALSE
ENSMUSG00000046167,ENSMUSG00000046167,Gldn,3819,FALSE
ENSMUSG00000041268,ENSMUSG00000041268,Dmxl2,4807,FALSE
ENSMUSG00000046460,ENSMUSG00000046460,Sh2d7,9,FALSE
ENSMUSG00000037493,ENSMUSG00000037493,Cib2,3452,FALSE
ENSMUSG00000032279,ENSMUSG00000032279,Idh3a,23672,FALSE
ENSMUSG00000032281,ENSMUSG00000032281,Acsbg1,221,FALSE
ENSMUSG00000032285,ENSMUSG00000032285,Dnaja4,3473,FALSE
ENSMUSG00000061559,ENSMUSG00000061559,Wdr61,24525,FALSE
ENSMUSG00000032291,ENSMUSG00000032291,Crabp1,12630,TRUE
ENSMUSG00000032293,ENSMUSG00000032293,Ireb2,18348,FALSE
